309.025, 129.489, 4.253,  4.379 False
308.883, 129.489, 4.283,  4.412 False
308.739, 129.489, 4.316,  4.445 False
308.594, 129.489, 4.346,  4.478 False
308.449, 129.489, 4.379,  4.511 False
308.302, 129.489, 4.410,  4.544 False
308.154, 129.489, 4.442,  4.577 False
308.005, 129.489, 4.473,  4.610 False
307.856, 129.489, 4.505,  4.643 False
307.705, 129.489, 4.536,  4.676 False
307.553, 129.489, 4.568,  4.709 False
307.400, 129.489, 4.598,  4.742 False
307.246, 129.489, 4.630,  4.775 False
307.090, 129.489, 4.661,  4.808 False
306.934, 129.489, 4.693,  4.841 False
306.777, 129.491, 4.722,  4.874 False
306.619, 129.494, 4.753,  4.907 False
306.460, 129.496, 4.784,  4.940 False
306.299, 129.499, 4.816,  4.973 False
306.138, 129.503, 4.846,  5.006 False
305.976, 129.507, 4.879,  5.039 False
305.813, 129.512, 4.909,  5.072 False
305.648, 129.516, 4.942,  5.105 False
305.483, 129.520, 4.972,  5.138 False
305.316, 129.526, 5.004,  5.171 False
305.149, 129.532, 5.033,  5.204 False
304.980, 129.537, 5.067,  5.237 False
304.811, 129.543, 5.096,  5.270 False
304.640, 129.549, 5.129,  5.303 False
304.469, 129.557, 5.155,  5.336 False
304.297, 129.564, 5.172,  5.369 False
304.125, 129.572, 5.166,  5.402 False
303.953, 129.580, 5.163,  5.435 False
303.781, 129.589, 5.168,  5.468 False
303.609, 129.598, 5.184,  5.501 False
303.436, 129.606, 5.208,  5.534 False
303.262, 129.615, 5.242,  5.567 False
303.086, 129.623, 5.280,  5.600 False
302.909, 129.632, 5.323,  5.633 False
302.731, 129.640, 5.366,  5.666 False
302.551, 129.649, 5.412,  5.699 False
302.369, 129.657, 5.455,  5.732 False
302.186, 129.666, 5.498,  5.765 False
302.002, 129.675, 5.537,  5.798 False
301.817, 129.684, 5.577,  5.831 False
301.630, 129.693, 5.613,  5.864 False
301.442, 129.702, 5.650,  5.897 False
301.253, 129.712, 5.685,  5.930 False
301.063, 129.722, 5.721,  5.963 False
300.872, 129.732, 5.754,  5.996 False
300.680, 129.743, 5.790,  6.029 False
300.486, 129.754, 5.824,  6.062 False
300.292, 129.765, 5.859,  6.095 False
300.096, 129.776, 5.892,  6.128 False
299.899, 129.786, 5.927,  6.161 False
299.701, 129.797, 5.959,  6.194 False
299.502, 129.808, 5.993,  6.227 False
299.301, 129.819, 6.025,  6.260 False
299.100, 129.831, 6.059,  6.293 False
298.898, 129.843, 6.090,  6.326 False
298.694, 129.855, 6.124,  6.359 False
298.490, 129.866, 6.155,  6.392 False
298.284, 129.878, 6.189,  6.425 False
298.078, 129.890, 6.219,  6.458 False
297.870, 129.902, 6.253,  6.491 False
297.661, 129.914, 6.283,  6.524 False
297.451, 129.927, 6.316,  6.557 False
297.240, 129.939, 6.346,  6.590 False
297.029, 129.952, 6.379,  6.623 False
296.816, 129.964, 6.409,  6.656 False
296.602, 129.977, 6.442,  6.689 False
296.387, 129.989, 6.472,  6.722 False
296.170, 130.002, 6.505,  6.755 False
295.953, 130.015, 6.535,  6.788 False
295.735, 130.029, 6.568,  6.821 False
295.516, 130.042, 6.598,  6.854 False
295.296, 130.055, 6.631,  6.887 False
295.074, 130.069, 6.660,  6.920 False
